Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,2.962054491043091,0.9899545907974243,0.5224999785423279,0.5037500262260437
2,0.8110640048980713,0.7644400596618652,0.5143055319786072,0.4950000047683716
3,0.763239860534668,0.7632300853729248,0.49194443225860596,0.4925000071525574
4,0.7629905343055725,0.7630667686462402,0.4968055486679077,0.4762499928474426
5,0.7629500031471252,0.7629969120025635,0.49916666746139526,0.4925000071525574
6,0.7629287242889404,0.7628015279769897,0.4980555474758148,0.4975000023841858
7,0.7629154324531555,0.7629996538162231,0.492083340883255,0.48875001072883606
8,0.7629210352897644,0.7628046274185181,0.4937500059604645,0.5062500238418579
9,0.762915313243866,0.7631081342697144,0.4958333373069763,0.47749999165534973
