Epoch,Training Loss,Validation Loss
1,5.332591533660889,3.7181296348571777
2,2.7722713947296143,1.8624083995819092
3,1.3802917003631592,1.0153164863586426
4,0.8886891007423401,0.8053178191184998
5,0.7826256155967712,0.7687625288963318
6,0.7657060027122498,0.7637147307395935
7,0.7630722522735596,0.7638960480690002
8,0.7630240321159363,0.7629048824310303
9,0.76292484998703,0.7629256248474121
