Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.257925987243652,2.13065242767334,0.5155555605888367,0.5475000143051147
2,1.338800311088562,0.9256196618080139,0.5330555438995361,0.4675000011920929
3,0.8341464996337891,0.7931997776031494,0.5522222518920898,0.5199999809265137
4,0.7720819115638733,0.7515628337860107,0.5736111402511597,0.6050000190734863
5,0.6985839009284973,0.6020956635475159,0.6916666626930237,0.8424999713897705
6,0.6156346797943115,0.5878012180328369,0.7597222328186035,0.7599999904632568
7,0.5782515406608582,0.5078070163726807,0.7761111259460449,0.8149999976158142
8,0.5668740272521973,0.6463548541069031,0.7822222113609314,0.7049999833106995
9,0.5648110508918762,0.5867614150047302,0.7875000238418579,0.7574999928474426
