Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,1.0287703275680542,1.0088324546813965,0.5202777981758118,0.5824999809265137
2,0.9913679361343384,0.9737588763237,0.5837500095367432,0.6225000023841858
3,0.9581426382064819,0.9428442120552063,0.597777783870697,0.5874999761581421
4,0.9271327257156372,0.9129491448402405,0.5874999761581421,0.6349999904632568
5,0.9000537991523743,0.8861370086669922,0.6263889074325562,0.5799999833106995
6,0.8725703954696655,0.8581455945968628,0.6474999785423279,0.6512500047683716
7,0.845282793045044,0.8251487612724304,0.6495833396911621,0.6850000023841858
8,0.8166640400886536,0.8044575452804565,0.6625000238418579,0.675000011920929
9,0.7955384254455566,0.7850393652915955,0.6536111235618591,0.6324999928474426
