Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.385490417480469,2.211581230163574,0.5047222375869751,0.5074999928474426
2,1.3626697063446045,0.8822438716888428,0.5030555725097656,0.5224999785423279
3,0.7984842658042908,0.7676604986190796,0.5036110877990723,0.4675000011920929
4,0.7639033198356628,0.7625588774681091,0.496111124753952,0.5199999809265137
5,0.7629605531692505,0.7630423903465271,0.5002777576446533,0.4975000023841858
6,0.7629261612892151,0.7631855010986328,0.5049999952316284,0.45500001311302185
7,0.7629125118255615,0.7632993459701538,0.5030555725097656,0.4724999964237213
8,0.7629665732383728,0.7627040147781372,0.4955555498600006,0.5099999904632568
9,0.7629556655883789,0.7629053592681885,0.49388888478279114,0.5299999713897705
