Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,12.428986549377441,12.00329875946045,0.539305567741394,0.6349999904632568
2,11.609516143798828,11.222320556640625,0.6030555367469788,0.5062500238418579
3,10.85031509399414,10.49954605102539,0.64083331823349,0.5262500047683716
4,10.150203704833984,9.81861400604248,0.6395833492279053,0.6512500047683716
5,9.499401092529297,9.17481517791748,0.6791666746139526,0.6937500238418579
6,8.882184028625488,8.584195137023926,0.7297222018241882,0.6912500262260437
7,8.299238204956055,8.022817611694336,0.7398611307144165,0.7325000166893005
8,7.751918792724609,7.471120834350586,0.7504166960716248,0.8100000023841858
9,7.230315208435059,6.968474864959717,0.7740277647972107,0.8062499761581421
